code,country,Region,Life Sat (0-10),Life Exp (years),Footprint (g ha /cap),HLY,HPI,HPI rank,GDP per capita ($ PPP),HDI,population
110,Mozambique,4a,3.8,42.8,0.9,16.4,24.61,133,"1,242",0.384,"20,532,675"
111,Namibia,4a,4.5,51.6,3.7,23.2,21.1,140,"7,586",0.65,"2,019,677"
112,Nepal,5a,5.3,62.6,0.8,33.3,51.91,37,"1,550",0.534,"27,093,656"
113,Netherlands,2c,7.7,79.2,4.4,61.1,50.6,43,"32,684",0.953,"16,319,850"
114,New Zealand,2a,7.8,79.8,7.7,62.3,36.21,103,"24,996",0.943,"4,133,900"
115,Nicaragua,1a,7.1,71.9,2,51,60.54,11,"3,674",0.71,"5,462,539"
116,Niger,4c,3.8,55.8,1.6,21,26.94,129,781,0.374,"13,264,190"
117,Nigeria,4c,4.8,46.5,1.3,22.2,30.35,115,"1,128",0.47,"141,356,083"
118,Norway,2d,8.1,79.8,6.9,64.6,40.36,88,"41,420",0.968,"4,623,300"
120,Pakistan,5a,5.6,64.6,0.8,36.2,55.56,24,"2,370",0.551,"155,772,000"
121,Palestine,3b,5,72.9,1.5,36.1,47.73,56,"1,500",0.731,"3,761,904"
122,Panama,1a,7.8,75.1,3.2,58.5,57.37,18,"7,605",0.812,"3,231,502"
124,Paraguay,1b,6.9,71.3,3.2,49,47.8,55,"4,642",0.755,"5,898,651"
125,Peru,1b,5.9,70.7,1.6,41.7,54.37,28,"6,039",0.773,"27,274,266"
126,Philippines,6c,5.5,71,0.9,38.9,59.02,14,"5,137",0.771,"84,566,163"
127,Poland,7b,6.5,75.2,4,48.7,42.75,77,"13,847",0.87,"38,165,450"
128,Portugal,2e,5.9,77.7,4.4,45.5,37.46,98,"20,410",0.897,"10,549,450"
130,Romania,7b,5.9,71.9,2.9,42.6,43.89,70,"9,060",0.813,"21,634,350"
131,Russia,7c,5.9,65,3.7,38.1,34.47,108,"10,845",0.802,"143,150,000"
132,Rwanda,4b,4.2,45.2,0.8,19.1,29.59,119,"1,206",0.452,"9,233,793"
138,Saudi Arabia,3b,7.7,72.2,2.6,55.6,59.7,13,"15,711",0.812,"23,118,994"
139,Senegal,4c,4.5,62.3,1.4,27.9,38.03,96,"1,792",0.499,"11,770,340"
141,Sierra Leone,4c,3.6,41.8,0.8,14.8,23.08,136,806,0.336,"5,586,403"
142,Singapore,6b,7.1,79.4,4.2,56.5,48.24,49,"29,663",0.922,"4,265,800"
143,Slovakia,7b,6.1,74.2,3.3,45.1,43.52,73,"15,871",0.863,"5,387,000"
144,Slovenia,7b,7,77.4,4.5,54.2,44.53,66,"22,273",0.917,"2,000,500"
146,South Africa,4a,5,50.8,2.1,25.2,29.69,118,"11,110",0.674,"46,892,428"
147,Spain,2e,7.6,80.5,5.7,61.2,43.19,76,"27,169",0.949,"43,398,150"
148,Sri Lanka,5a,5.4,71.6,1,38.6,56.55,22,"4,595",0.743,"19,668,000"
149,Sudan,4b,4.5,57.4,2.4,25.8,28.55,121,"2,083",0.526,"36,899,747"
152,Sweden,2d,7.9,80.5,5.1,63.2,47.99,53,"32,525",0.956,"9,024,040"
153,Switzerland,2c,7.7,81.3,5,62.6,48.05,52,"35,633",0.955,"7,437,100"
154,Syria,3b,5.9,73.6,2.1,43.4,51.32,38,"3,808",0.724,"18,893,881"
155,Tajikistan,7a,5.1,66.3,0.7,33.8,53.48,34,"1,356",0.673,"6,550,213"
156,Tanzania,4b,2.4,51,1.1,12.5,17.79,142,744,0.467,"38,477,873"
157,Thailand,6c,6.3,69.6,2.1,43.5,50.9,41,"8,677",0.781,"63,002,911"
159,Togo,4c,2.6,57.8,0.8,15.2,23.28,135,"1,506",0.512,"6,238,572"
161,Trinidad and Tobago,1a,6.7,69.2,2.1,46.3,54.21,30,"14,603",0.814,"1,323,722"
162,Tunisia,3a,5.9,73.5,1.8,43.3,54.31,29,"8,371",0.766,"10,029,000"
163,Turkey,3b,5.5,71.4,2.7,39.4,41.7,83,"8,407",0.775,"72,065,000"
165,Uganda,4b,4.5,49.7,1.4,22.3,30.21,117,"1,454",0.505,"28,947,181"
166,Ukraine,7c,5.3,67.7,2.7,35.9,38.07,95,"6,848",0.788,"47,105,150"
167,United Arab Emirates,3b,7.2,78.3,9.5,56.2,28.16,123,"25,514",0.868,"4,104,291"
168,United Kingdom,2c,7.4,79,5.3,58.6,43.31,74,"33,238",0.946,"60,226,473"
169,United States of America,2b,7.9,77.9,9.4,61.2,30.73,114,"41,890",0.951,"296,507,000"
170,Uruguay,1c,6.8,75.9,5.5,51.2,37.24,99,"9,962",0.852,"3,305,723"
171,Uzbekistan,7a,6,66.8,1.8,40.3,50.07,45,"2,063",0.702,"26,167,369"
173,Venezuela,1b,6.9,73.2,2.8,50.4,52.49,36,"6,632",0.792,"26,577,000"
174,Vietnam,6c,6.5,73.7,1.3,47.8,66.52,5,"3,071",0.733,"83,104,900"
175,Yemen,3b,5.2,61.5,0.9,32,48.09,50,930,0.508,"21,095,679"
176,Zambia,4a,4.3,40.5,0.8,17.5,27.18,127,"1,023",0.434,"11,478,317"
177,Zimbabwe,4a,2.8,40.9,1.1,11.6,16.59,143,"2,038",0.513,"13,119,679"
178,Iraq,3b,5.4,57.7,1.3,30.9,42.59,79,,,"29,267,000"
179,Serbia,7b,6,73.6,2.6,44.2,47.63,58,,,"7,440,769"
